TVDSS,WELL,NPHI,GR,RHOB,PHIE,VSH
3218.84045,N18,0.17782,50.171,2.372,0.179745,0.0636
3218.99285,N18,0.19167,45.325,2.384,0.185836,0.0333
3219.14525,N18,0.18674,40.479,2.352,0.200031,0.003
3219.29765,N18,0.18181,37.601,2.32,0.209886,0.0
3219.45005,N18,0.19402,37.658,2.313,0.217318,0.0
3219.60245,N18,0.2112,39.8,2.337,0.215469,0.0
3219.75485,N18,0.22837,44.28,2.361,0.212034,0.0267
3219.90725,N18,0.2287,48.76,2.385,0.200383,0.0547
3220.05965,N18,0.22627,50.711,2.402,0.192178,0.0669
3220.21205,N18,0.23587,54.231,2.401,0.193344,0.0889
3220.36445,N18,0.24658,58.074,2.405,0.193341,0.113
3220.51685,N18,0.24638,59.669,2.423,0.186448,0.1229
3220.66925,N18,0.24782,56.621,2.497,0.170667,0.1039
3222.19325,N18,0.25375,46.948,2.451,0.197704,0.0434
3222.34565,N18,0.17321,33.531,2.35,0.170922,0.1391
3222.49805,N18,0.09614,23.005,2.339,0.165689,0.0
3222.65045,N18,0.08652,17.804,2.363,0.153004,0.0
3222.80285,N18,0.08269,18.223,2.343,0.157788,0.0
3222.95525,N18,0.08658,18.641,2.327,0.165058,0.0
3223.10765,N18,0.09047,22.701,2.315,0.170997,0.0
3223.26005,N18,0.12666,27.613,2.332,0.182163,0.0
3223.41245,N18,0.21127,39.198,2.354,0.159685,0.284
3224.17445,N18,0.2026,51.94,2.248,0.237096,0.0396
3224.32685,N18,0.13322,45.688,2.303,0.195091,0.0
3224.47925,N18,0.09222,42.447,2.358,0.157427,0.0
3224.63165,N18,0.09886,40.253,2.414,0.141685,0.0
3224.78405,N18,0.10467,37.499,2.469,0.101061,0.1315
3225.08885,N18,0.07987,25.665,2.454,0.117281,0.0117
3225.24125,N18,0.06747,19.748,2.411,0.12767,0.0
3225.39365,N18,0.066,15.253,2.357,0.144594,0.0
3225.54605,N18,0.06558,14.691,2.328,0.153858,0.0
3225.69845,N18,0.0687,14.128,2.324,0.156853,0.0
3225.85085,N18,0.07376,13.565,2.322,0.160192,0.0
3226.00325,N18,0.07882,13.296,2.319,0.163807,0.0
3226.15565,N18,0.08388,18.093,2.316,0.167377,0.0
3226.30805,N18,0.08893,22.891,2.319,0.168896,0.0
3226.46045,N18,0.09736,27.076,2.331,0.168967,0.0
3226.61285,N18,0.10669,27.515,2.342,0.169648,0.0
3226.76525,N18,0.11603,26.201,2.36,0.167795,0.0
3226.91765,N18,0.11371,20.501,2.38,0.159928,0.0
3227.07005,N18,0.10183,18.849,2.388,0.151824,0.0
3227.22245,N18,0.09218,18.061,2.36,0.156736,0.0
3227.37485,N18,0.0882,18.244,2.339,0.161845,0.0
3227.52725,N18,0.08422,16.559,2.321,0.165882,0.0
3227.67965,N18,0.08025,15.044,2.304,0.169521,0.0
3227.83205,N18,0.07741,17.605,2.298,0.170037,0.0
3227.98445,N18,0.07501,19.95,2.311,0.164479,0.0
3228.13685,N18,0.07262,20.389,2.324,0.158934,0.0
3228.28925,N18,0.07022,20.264,2.337,0.15339,0.0
3228.44165,N18,0.06949,19.363,2.346,0.150047,0.0
3228.59405,N18,0.07606,17.716,2.338,0.156097,0.0
3228.74645,N18,0.08095,17.666,2.33,0.161239,0.0
3228.89885,N18,0.08066,19.234,2.32,0.164415,0.0
3229.05125,N18,0.10332,24.618,2.309,0.179245,0.0
3230.27045,N18,0.27945,62.972,2.499,0.052059,0.7594
3230.42285,N18,0.23758,58.991,2.5,0.049562,0.6738
3230.57525,N18,0.19571,46.697,2.452,0.093135,0.4259
3230.72765,N18,0.15385,30.72,2.404,0.148322,0.1144
3230.88005,N18,0.11198,17.734,2.369,0.162896,0.0
3231.03245,N18,0.10255,16.124,2.341,0.168052,0.0
3231.18485,N18,0.0933,15.242,2.313,0.173058,0.0
3231.33725,N18,0.08456,14.673,2.31,0.16972,0.0
3231.48965,N18,0.08148,14.104,2.324,0.163502,0.0
3231.64205,N18,0.0784,18.566,2.345,0.15497,0.0
3231.79445,N18,0.08956,24.421,2.367,0.153134,0.0
3231.94685,N18,0.21222,30.276,2.362,0.18858,0.1055
3232.86125,N18,0.11438,33.836,2.295,0.189222,0.0
3233.01365,N18,0.09566,33.418,2.427,0.133159,0.0143
3233.16605,N18,0.10606,35.533,2.451,0.113675,0.1002
3233.31845,N18,0.14464,38.996,2.441,0.112316,0.2194
3233.47085,N18,0.16846,39.819,2.454,0.104273,0.2964
3233.62325,N18,0.15968,40.642,2.467,0.092879,0.3128
3233.77565,N18,0.11906,31.023,2.443,0.11853,0.1205
3233.92805,N18,0.08637,22.567,2.412,0.136567,0.0
3234.08045,N18,0.07907,17.879,2.396,0.138388,0.0
3234.23285,N18,0.08325,17.861,2.381,0.145411,0.0
3234.38525,N18,0.07941,18.957,2.38,0.143864,0.0
